timestamp,prefix,origin_as,peer_asn,as_path
2021-02-05T11:17:45+00:00,104.244.42.0/24,13414,49788,49788 12552 13414 13414
2021-02-05T15:51:13+00:00,104.244.42.0/24,136168,18106,18106 136168
2021-02-05T15:51:21+00:00,104.244.42.0/24,136168,23673,23673 136168
2021-02-05T18:19:38+00:00,104.244.42.0/24,13414,2914,2914 13414 13414
2021-02-05T18:58:03+00:00,104.244.42.0/24,136168,18106,18106 136168
2021-02-05T18:58:03+00:00,104.244.42.0/24,13414,18106,18106 13414 13414
2021-02-05T18:58:24+00:00,104.244.42.0/24,13414,23673,23673 13414 13414
